BW1,BW2,DL1,DL2,PL1,PL2,MPSNR
0.41 ,0.36 ,85,290,1.4 ,3.3 ,67.2407 
0.98 ,0.99 ,575,349,1.5 ,1.0 ,70.7771 
0.81 ,0.22 ,403,224,0.8 ,1.6 ,47.1982 
0.90 ,0.81 ,215,427,0.6 ,0.3 ,87.7693 
0.40 ,0.74 ,508,218,3.9 ,1.7 ,68.3314 
0.55 ,0.99 ,295,466,2.6 ,3.9 ,59.7167 
0.88 ,0.66 ,420,299,4.3 ,0.3 ,68.0362 
0.38 ,0.79 ,270,340,0.6 ,3.2 ,70.9735 
0.96 ,0.68 ,416,422,2.9 ,0.9 ,82.7692 
0.22 ,0.48 ,180,224,0.7 ,3.9 ,33.1155 
0.45 ,0.49 ,409,217,5.0 ,3.9 ,59.5672 
0.26 ,0.67 ,423,368,1.1 ,4.8 ,40.2675 
0.44 ,0.49 ,134,441,4.5 ,3.4 ,47.0015 
0.65 ,0.30 ,585,223,1.8 ,1.5 ,70.4991 
0.91 ,0.22 ,478,308,0.3 ,1.1 ,44.6285 
0.40 ,0.65 ,511,240,1.8 ,1.0 ,79.0205 
0.48 ,0.85 ,480,294,2.7 ,2.2 ,65.6377 
0.63 ,0.48 ,25,544,2.1 ,2.2 ,73.0626 
0.85 ,0.28 ,485,283,0.9 ,0.5 ,71.9569 
0.32 ,0.90 ,192,454,2.8 ,2.9 ,58.8047 
0.88 ,0.25 ,202,7,0.2 ,3.7 ,49.2321 
0.83 ,0.26 ,190,1,1.2 ,1.1 ,63.9154 
0.40 ,0.54 ,342,195,1.8 ,0.4 ,81.7070 
0.48 ,0.20 ,522,531,0.6 ,1.7 ,43.3552 
0.77 ,0.99 ,178,186,1.9 ,2.1 ,75.6259 
0.80 ,0.64 ,236,131,0.3 ,5.0 ,62.9292 
0.60 ,0.67 ,479,493,4.0 ,2.4 ,57.3503 
0.82 ,0.61 ,422,467,2.3 ,1.8 ,73.0035 
0.70 ,0.26 ,347,481,4.2 ,3.4 ,51.9973 
0.27 ,0.47 ,591,395,0.9 ,3.3 ,56.8951 
0.58 ,0.74 ,3,548,1.0 ,0.7 ,82.3725 
0.50 ,0.37 ,74,246,0.5 ,4.8 ,53.5213 
0.82 ,0.44 ,348,406,1.8 ,4.7 ,67.7156 
0.83 ,0.71 ,164,408,2.2 ,3.4 ,63.8435 
0.23 ,0.62 ,267,48,2.6 ,2.9 ,32.3494 
0.53 ,1.00 ,237,512,4.0 ,1.3 ,70.8445 
0.79 ,0.77 ,125,577,3.9 ,4.1 ,52.5157 
0.73 ,0.41 ,230,395,1.3 ,0.4 ,80.3482 
0.51 ,0.65 ,448,181,0.1 ,2.1 ,82.0842 
0.72 ,0.44 ,372,357,1.0 ,0.5 ,77.9200 
0.59 ,0.89 ,224,469,4.2 ,4.2 ,57.3893 
0.36 ,0.64 ,76,161,4.8 ,3.1 ,46.0813 
0.77 ,0.44 ,464,173,1.4 ,2.3 ,80.2279 
0.25 ,0.83 ,109,378,1.9 ,4.4 ,42.0030 
0.50 ,0.81 ,4,135,1.8 ,2.6 ,69.7917 
0.74 ,0.90 ,310,181,0.2 ,1.7 ,82.5592 
0.97 ,0.32 ,41,125,2.9 ,3.9 ,56.4363 
0.72 ,0.70 ,252,156,5.0 ,0.9 ,62.1791 
0.89 ,0.98 ,437,269,3.6 ,2.7 ,59.3731 
0.88 ,0.86 ,527,577,3.7 ,4.6 ,58.7401 
0.50 ,0.65 ,25,155,1.1 ,1.0 ,82.0995 
0.51 ,0.65 ,141,343,1.0 ,2.0 ,71.4320 
0.57 ,0.67 ,151,107,2.1 ,0.8 ,80.5327 
0.99 ,0.96 ,594,478,0.3 ,1.3 ,82.8278 
0.71 ,0.23 ,30,260,3.5 ,1.7 ,48.8231 
0.21 ,0.86 ,593,332,2.6 ,4.3 ,30.1043 
0.38 ,0.29 ,211,492,0.1 ,1.6 ,76.1000 
0.64 ,0.99 ,277,555,3.8 ,4.0 ,59.0093 
0.23 ,0.92 ,150,556,4.0 ,2.9 ,36.0014 
0.95 ,0.54 ,512,432,2.7 ,3.6 ,66.2917 
0.98 ,0.40 ,101,251,2.3 ,1.0 ,61.8958 
0.76 ,0.21 ,255,493,1.0 ,1.7 ,43.5996 
0.53 ,0.45 ,508,225,0.3 ,3.0 ,71.1568 
0.99 ,0.29 ,555,460,4.4 ,3.0 ,54.1203 
0.21 ,0.65 ,100,71,0.8 ,3.1 ,42.1991 
0.41 ,0.56 ,388,37,1.5 ,0.7 ,80.1025 
0.29 ,0.87 ,416,12,3.4 ,1.6 ,71.7215 
0.31 ,0.24 ,1,262,2.9 ,1.3 ,48.9022 
0.70 ,0.44 ,79,241,2.0 ,3.4 ,74.4461 
0.91 ,0.45 ,265,277,3.0 ,2.6 ,62.4626 
0.63 ,0.83 ,477,62,4.7 ,1.3 ,52.9990 
0.39 ,0.99 ,318,114,0.4 ,2.3 ,62.7989 
0.71 ,0.50 ,371,567,2.6 ,0.1 ,82.3118 
0.79 ,0.56 ,49,130,0.0 ,4.2 ,62.3822 
0.40 ,0.23 ,136,448,2.1 ,0.9 ,48.7496 
0.40 ,0.45 ,564,25,3.6 ,2.6 ,43.3575 
0.99 ,0.32 ,346,265,3.8 ,1.8 ,72.5799 
0.72 ,0.82 ,252,428,2.5 ,2.8 ,66.2415 
0.77 ,0.45 ,521,169,4.4 ,4.0 ,56.6590 
0.45 ,0.66 ,89,202,4.4 ,0.5 ,70.5258 
0.52 ,0.39 ,579,416,0.9 ,1.3 ,71.8524 
0.54 ,0.52 ,533,391,4.6 ,4.2 ,33.4945 
0.96 ,0.72 ,230,519,3.3 ,1.0 ,72.7969 
0.89 ,0.71 ,246,78,2.3 ,3.9 ,69.0524 
0.64 ,0.89 ,172,221,1.8 ,4.3 ,71.3766 
0.74 ,0.40 ,39,432,0.8 ,4.9 ,70.6879 
0.75 ,0.86 ,589,210,1.3 ,4.2 ,65.9507 
0.91 ,0.24 ,300,341,1.4 ,4.9 ,44.8757 
0.42 ,0.57 ,578,394,0.9 ,2.0 ,70.7832 
0.50 ,0.39 ,482,96,4.9 ,0.0 ,60.4659 
0.73 ,0.23 ,520,419,4.8 ,2.9 ,28.9036 
0.41 ,0.87 ,396,525,1.3 ,1.4 ,70.0441 
0.38 ,0.89 ,204,463,3.4 ,2.4 ,70.3842 
0.85 ,0.67 ,364,423,2.2 ,3.8 ,66.8853 
0.99 ,0.45 ,34,422,1.7 ,4.4 ,63.1242 
0.99 ,0.45 ,567,167,2.5 ,4.0 ,67.9656 
0.58 ,0.59 ,396,311,1.4 ,0.8 ,79.0373 
0.37 ,0.25 ,134,534,4.9 ,0.0 ,50.5411 
0.36 ,0.88 ,282,488,0.6 ,4.0 ,58.0480 
0.93 ,0.60 ,53,526,4.5 ,2.8 ,56.0223 
0.62 ,0.84 ,145,98,1.7 ,0.1 ,88.2335 
0.69 ,0.64 ,566,163,1.8 ,0.7 ,83.2299 
0.99 ,0.61 ,307,510,4.2 ,1.0 ,65.2179 
0.58 ,0.80 ,540,588,2.8 ,1.5 ,65.7649 
0.53 ,0.52 ,374,371,3.8 ,2.5 ,67.5586 
0.36 ,0.38 ,45,183,0.1 ,4.8 ,61.2032 
0.25 ,0.91 ,84,414,0.9 ,1.9 ,56.0002 
0.21 ,0.87 ,37,104,3.3 ,2.2 ,39.2326 
0.98 ,0.55 ,441,476,3.0 ,2.1 ,63.0334 
0.35 ,0.32 ,486,284,2.2 ,1.2 ,69.7122 
0.89 ,0.98 ,62,88,3.7 ,2.0 ,78.1665 
0.90 ,0.32 ,274,589,4.6 ,1.7 ,52.3607 
0.49 ,0.28 ,116,317,2.5 ,1.4 ,58.5067 
0.54 ,0.81 ,203,542,1.5 ,0.7 ,83.8691 
0.67 ,0.51 ,173,506,2.2 ,3.9 ,62.6597 
0.79 ,0.21 ,439,422,4.8 ,3.5 ,34.2946 
0.37 ,0.52 ,489,304,4.9 ,1.8 ,64.8896 
0.63 ,0.86 ,557,560,5.0 ,2.0 ,60.7022 
0.25 ,0.42 ,554,522,2.9 ,2.2 ,53.4350 
0.22 ,0.83 ,403,432,0.7 ,3.3 ,39.9232 
0.92 ,0.41 ,446,564,1.0 ,3.0 ,58.4823 
0.54 ,0.78 ,421,80,2.0 ,2.9 ,68.6382 
0.82 ,0.81 ,543,438,0.6 ,1.1 ,86.2348 
0.21 ,0.76 ,293,133,3.6 ,2.4 ,38.6953 
1.00 ,0.62 ,101,399,2.6 ,4.7 ,64.4559 
0.88 ,0.61 ,213,540,2.7 ,4.2 ,61.7757 
0.23 ,0.30 ,232,544,2.5 ,0.0 ,51.5387 
0.79 ,0.82 ,412,588,2.5 ,0.3 ,82.3841 
0.29 ,0.38 ,422,431,3.8 ,0.0 ,71.7460 
0.66 ,0.78 ,193,275,4.2 ,3.6 ,59.6428 
0.86 ,0.97 ,334,192,1.9 ,2.0 ,71.4761 
0.98 ,0.90 ,490,514,2.8 ,0.5 ,72.7352 
0.47 ,0.46 ,266,330,0.6 ,3.2 ,75.5080 
0.52 ,0.29 ,435,304,2.0 ,1.5 ,74.7738 
0.37 ,0.34 ,559,505,1.9 ,3.8 ,62.7483 
0.20 ,0.47 ,35,225,2.5 ,4.6 ,38.3507 
0.75 ,0.99 ,561,228,4.5 ,4.5 ,45.5962 
0.20 ,0.39 ,271,560,2.4 ,4.0 ,34.9580 
0.36 ,0.63 ,384,515,3.2 ,3.7 ,57.6172 
0.82 ,0.58 ,495,383,0.6 ,3.9 ,68.4018 
0.85 ,0.33 ,124,370,0.6 ,4.2 ,52.8244 
0.63 ,0.47 ,93,434,2.0 ,1.4 ,72.2266 
0.40 ,0.47 ,196,483,1.9 ,4.8 ,58.7429 
0.73 ,0.89 ,317,501,0.7 ,2.0 ,79.1793 
0.87 ,0.23 ,546,259,4.5 ,0.6 ,38.7340 
0.25 ,0.55 ,249,319,0.7 ,1.7 ,55.4541 
0.89 ,0.47 ,454,70,2.4 ,1.2 ,68.2943 
0.34 ,0.96 ,196,102,2.7 ,4.2 ,52.6492 
0.45 ,0.42 ,378,565,0.1 ,4.4 ,63.1549 
0.58 ,0.49 ,425,102,2.6 ,1.6 ,56.9417 
0.48 ,0.60 ,299,9,2.1 ,1.5 ,73.1672 
0.32 ,0.87 ,512,286,1.0 ,0.7 ,85.9329 
0.61 ,0.47 ,219,402,5.0 ,1.9 ,64.1936 
0.44 ,0.37 ,14,233,1.0 ,3.6 ,65.4385 
0.71 ,0.59 ,586,474,4.2 ,0.9 ,64.7545 
0.92 ,0.37 ,361,96,0.0 ,5.0 ,57.0974 
0.85 ,0.62 ,507,417,2.9 ,4.1 ,71.4726 
0.55 ,0.64 ,63,319,1.5 ,2.6 ,80.0622 
0.60 ,0.22 ,497,52,2.0 ,4.6 ,40.2537 
0.73 ,0.71 ,206,261,0.2 ,4.0 ,60.3983 
0.62 ,0.96 ,4,165,2.9 ,3.3 ,72.3520 
0.88 ,0.78 ,556,478,0.3 ,2.3 ,85.4608 
0.76 ,0.39 ,2,386,4.6 ,5.0 ,48.8314 
0.66 ,0.77 ,345,343,1.5 ,1.8 ,80.0616 
0.86 ,0.92 ,350,364,1.4 ,1.2 ,76.4206 
0.67 ,0.22 ,76,278,4.2 ,3.8 ,41.1832 
0.94 ,0.96 ,126,276,1.2 ,1.5 ,81.0029 
0.82 ,0.54 ,331,194,4.0 ,0.7 ,78.0739 
0.89 ,0.55 ,377,574,2.2 ,5.0 ,56.4727 
0.67 ,0.68 ,269,430,2.7 ,5.0 ,59.7461 
0.97 ,0.77 ,198,305,4.9 ,0.7 ,68.2726 
0.81 ,0.58 ,230,193,1.6 ,2.2 ,69.6755 
0.87 ,0.94 ,17,535,2.8 ,2.2 ,61.3757 
0.71 ,0.55 ,248,152,0.7 ,1.9 ,79.5791 
0.86 ,0.38 ,294,216,3.6 ,0.2 ,56.0171 
0.61 ,0.46 ,586,383,4.8 ,0.5 ,65.4810 
0.90 ,0.52 ,302,241,3.0 ,3.7 ,61.3139 
0.82 ,0.32 ,10,250,2.1 ,2.6 ,71.2116 
0.99 ,0.57 ,295,331,2.1 ,4.2 ,53.3764 
0.50 ,0.47 ,397,575,2.1 ,3.1 ,52.8478 
0.66 ,0.92 ,596,508,0.7 ,3.0 ,78.3354 
0.93 ,0.45 ,221,4,1.8 ,0.0 ,86.0428 
0.26 ,0.27 ,180,549,2.1 ,4.4 ,40.5700 
0.58 ,0.35 ,187,520,4.5 ,1.0 ,66.2329 
0.36 ,0.21 ,106,521,2.8 ,1.6 ,38.3124 
0.22 ,0.40 ,291,592,3.3 ,0.4 ,49.8669 
0.34 ,0.67 ,322,226,1.5 ,1.0 ,71.1217 
0.41 ,0.36 ,306,87,2.2 ,1.3 ,63.8802 
0.60 ,0.91 ,156,228,3.6 ,2.6 ,57.0939 
0.87 ,0.35 ,597,213,0.4 ,4.2 ,65.8083 
0.89 ,1.00 ,429,346,2.6 ,4.7 ,68.8929 
0.32 ,0.38 ,597,217,2.6 ,3.1 ,52.6462 
0.61 ,0.55 ,476,183,2.7 ,4.6 ,49.1899 
0.79 ,0.83 ,307,153,0.4 ,0.6 ,92.5048 
0.96 ,0.55 ,168,234,1.6 ,2.4 ,74.3757 
0.79 ,0.77 ,101,29,4.3 ,0.7 ,74.2625 
0.41 ,0.41 ,264,173,2.5 ,0.0 ,81.5098 
0.88 ,0.53 ,118,150,3.4 ,0.4 ,73.7368 
0.30 ,0.86 ,373,522,2.1 ,1.0 ,69.8391 
0.66 ,0.53 ,476,546,1.7 ,3.7 ,53.1998 
0.68 ,0.62 ,514,491,0.1 ,0.8 ,86.8552 
0.85 ,0.44 ,326,330,3.0 ,4.6 ,63.2078 
0.60 ,0.49 ,127,547,2.6 ,1.0 ,73.3438 
0.63 ,0.40 ,180,41,3.7 ,3.6 ,55.3873 
0.93 ,0.41 ,539,97,3.9 ,4.6 ,49.0356 
0.38 ,0.54 ,38,470,2.0 ,3.2 ,64.7577 
0.64 ,1.00 ,517,529,4.5 ,4.9 ,49.7876 
0.29 ,0.97 ,60,450,3.9 ,5.0 ,53.7086 
0.69 ,0.59 ,74,291,3.3 ,0.2 ,78.9963 
0.83 ,0.62 ,68,464,3.7 ,3.7 ,57.9719 
0.35 ,0.42 ,598,212,4.4 ,4.7 ,55.4849 
0.63 ,0.20 ,169,265,3.0 ,3.4 ,25.9104 
0.54 ,0.97 ,94,543,2.7 ,0.2 ,72.9149 
0.29 ,0.50 ,425,295,2.7 ,4.2 ,54.2215 
0.38 ,0.48 ,452,150,0.3 ,4.7 ,62.8503 
0.87 ,0.87 ,56,14,0.5 ,4.1 ,62.3559 
0.31 ,0.49 ,189,423,0.5 ,1.6 ,72.1933 
0.54 ,0.79 ,370,206,3.1 ,2.2 ,62.4183 
0.43 ,0.76 ,168,493,1.4 ,5.0 ,58.0062 
0.34 ,0.23 ,590,287,1.7 ,0.8 ,47.0211 
0.99 ,0.23 ,570,31,1.8 ,1.1 ,49.6683 
0.96 ,0.29 ,403,419,2.8 ,2.4 ,58.2107 
0.52 ,0.84 ,72,362,1.1 ,2.9 ,73.3091 
0.53 ,0.74 ,405,382,2.7 ,0.6 ,85.5751 
0.69 ,0.99 ,110,594,1.6 ,3.2 ,61.7684 
0.68 ,0.57 ,13,231,2.9 ,1.9 ,62.6444 
0.84 ,0.65 ,388,293,2.2 ,1.9 ,66.4473 
0.38 ,0.37 ,209,498,0.3 ,3.1 ,59.0130 
0.75 ,0.21 ,600,133,0.7 ,1.3 ,44.8157 
0.31 ,0.37 ,370,449,1.5 ,4.3 ,63.1915 
0.71 ,0.33 ,167,357,3.3 ,2.3 ,65.8703 
0.40 ,0.21 ,564,70,0.7 ,0.3 ,44.2985 
0.96 ,0.65 ,411,321,4.4 ,3.2 ,63.8442 
0.60 ,0.37 ,352,234,0.8 ,3.7 ,72.2705 
0.77 ,0.92 ,190,578,1.0 ,4.5 ,67.8859 
0.77 ,0.35 ,130,190,1.7 ,0.0 ,74.8007 
0.24 ,0.74 ,591,412,2.1 ,4.2 ,40.0398 
0.29 ,0.75 ,222,600,3.0 ,1.5 ,64.0648 
0.62 ,0.68 ,254,477,1.7 ,2.7 ,59.6620 
0.73 ,0.78 ,557,503,3.0 ,3.8 ,59.0432 
0.32 ,0.91 ,445,483,1.1 ,4.6 ,61.3026 
0.27 ,0.76 ,588,13,5.0 ,2.1 ,41.6451 
0.60 ,0.86 ,406,87,4.5 ,0.3 ,65.9033 
0.61 ,0.35 ,503,510,1.1 ,4.1 ,55.4872 
0.55 ,0.50 ,468,64,4.9 ,4.9 ,58.1440 
0.69 ,0.47 ,518,416,1.4 ,1.2 ,70.4281 
0.81 ,0.23 ,268,165,0.1 ,2.2 ,46.8089 
0.90 ,1.00 ,563,267,1.6 ,0.0 ,87.3353 
0.56 ,0.64 ,433,448,4.4 ,1.6 ,72.3609 
0.32 ,0.90 ,245,282,3.0 ,4.9 ,56.0543 
0.62 ,0.86 ,174,477,3.3 ,0.2 ,80.8071 
