BW1,BW2,BW3,DL1,DL2,DL3,PL1,PL2,PL3,MPSNR
0.8546,0.3522,0.509,76,32,155,2.2,4.3,3.7,56.8598
0.7133,0.9396,0.8458,179,33,369,1.1,4.1,4.1,57.5344
0.3448,0.6549,0.2886,569,518,525,1.1,1.7,1.2,57.4781
0.4256,0.3811,0.8372,491,146,336,3,3.5,1.6,55.8073
0.9803,0.9244,0.9676,52,352,482,2.3,2.6,1.8,56.976
0.986,0.8593,0.7275,287,188,527,1.8,1.2,0.7,72.6136
0.8368,0.2467,0.9481,460,19,585,0.4,2.9,4.2,39.5509
0.4266,0.3411,0.264,193,550,287,4.7,3.7,3.4,40.7695
0.8115,0.498,0.8542,253,57,405,2.5,3.2,0.4,68.5587
0.4732,0.2585,0.7977,238,297,387,0,1.4,3.1,36.2685
0.7178,0.9895,0.7388,339,298,245,2.4,4.3,1.8,54.2181
0.8185,0.5995,0.6374,440,167,345,3.7,1.8,0.2,55.4572
0.6257,0.5593,0.8233,64,546,283,3.1,3.8,2,54.5618
0.5577,0.6211,0.9553,89,450,174,4.9,3.8,2.9,54.3001
0.9931,0.9334,0.791,430,410,441,3.4,2.1,0.9,52.4494
0.3192,0.9566,0.8173,454,417,556,0.3,2.2,3.3,63.4953
0.2805,0.943,0.7917,467,447,138,2.9,5,1.9,41.9541
0.5273,0.2847,0.296,305,90,558,0.1,2.8,3.6,64.6934
0.5013,0.5529,0.499,297,417,326,4,0.2,0.1,74.9162
0.4756,0.7458,0.3741,136,14,212,4.3,0.2,0.7,70.1484
0.6148,0.4121,0.3963,295,561,373,1.6,2.4,4.2,53.68
0.3719,0.9436,0.9865,97,307,304,2.9,1.1,4.9,51.308
0.9706,0.8964,0.3634,63,224,7,0.9,3.4,2.8,62.2956
0.6173,0.3852,0.5817,494,545,255,0.7,3.8,2.2,51.14
0.913,0.8693,0.7748,174,269,512,4.3,3.2,1.7,55.7499
0.2566,0.2961,0.4788,493,220,563,2.2,1,4.8,45.2786
0.2924,0.3679,0.7745,150,331,538,1.9,0.9,4,49.9436
0.5804,0.2403,0.6078,61,377,146,3.2,3,3.6,27.7345
0.6731,0.5591,0.3547,564,146,296,0.1,1.2,0.7,70.769
0.9898,0.3078,0.8696,514,74,96,2.2,1,2,55.7328
0.4827,0.5921,0.549,430,247,372,1,1.3,4.5,51.0126
0.3539,0.2009,0.4502,412,333,498,0.4,1.4,3.9,33.7448
0.9267,0.4275,0.6675,306,131,358,4.6,3.6,1.7,50.2623
0.3472,0.5485,0.4571,251,206,216,3.7,1.7,0.3,71.6923
0.4694,0.7189,0.8753,22,191,552,3.7,0.1,4.5,49.6113
0.5737,0.6375,0.6226,323,302,415,2.1,2,0.7,63.9468
0.9461,0.7374,0.2996,112,588,229,1.3,1.1,4.3,47.3953
0.4485,0.5582,0.7026,221,301,552,2.6,2.2,0.2,61.1643
0.2972,0.3287,0.3725,324,536,567,0.8,2.8,4.6,53.0274
0.7423,0.3174,0.5588,69,60,115,1.8,0.8,4.6,57.0664
0.5766,0.9914,0.6376,358,84,300,3.9,0.8,3.3,54.1552
0.9802,0.5229,0.6834,307,288,267,4.6,0.7,0.2,62.3286
0.2189,0.8638,0.9159,206,272,48,2.8,3.4,2,28.8752
0.4441,0.6497,0.6996,140,362,600,1,0.5,0.1,85.1481
0.7443,0.2454,0.5621,199,488,17,3.9,4.4,0.9,40.6922
0.2237,0.8152,0.4941,378,530,131,5,3.4,0.8,29.0982
