BW 1,Delay 1, PL 1, BW 2, Delay 2, PL 2,BW 3,Delay 3, PL 3
0.76,107,0.48,0.8,56,0.12,1.11,16,4.1
0.53,92,5.84,1.07,120,0.03,1.16,130,1.03
0.92,70,0,0.98,3,0,0.95,77,0
0.62,105,0.78,1.12,42,0.65,1.13,32,0.67
0.71,33,0.91,0.88,84,2.52,1.05,48,0.57
0.63,21,5.73,0.81,100,3.15,0.85,110,0.62
0.55,111,3.83,1.07,121,0.29,0.97,107,2.18
0.81,85,6.23,0.85,106,0.23,0.83,90,0.94
0.84,121,8,0.9,27,0.59,0.83,130,0.11
0.96,6,1.62,0.87,23,1.45,0.84,18,0.43
0.67,82,5.74,1.17,81,0.27,0.98,54,0.09
0.61,123,5.31,1.05,88,1,1.18,67,1.29
0.85,93,2.66,0.83,121,2.53,1.05,22,3.61
0.9,79,0.33,1.17,55,0.83,0.84,26,5.04
0.78,88,0.61,0.87,78,0.03,1.03,83,0.16
0.78,94,1.58,0.83,38,0.04,0.89,73,0.18
0.91,25,0.48,1.04,45,1.2,1.06,2,3.12
0.54,48,1,0.85,78,0.35,0.94,122,1.25
0.53,25,6.75,0.99,10,0.5,0.88,46,0.55
0.98,11,1.01,1.15,27,0.33,0.87,84,8.36
0.99,57,0.7,0.85,94,1.56,1.06,0,0.04
0.65,125,0.18,1.19,30,3.34,0.85,127,5.88
0.9,109,1.9,1.01,31,2.2,1.16,124,1.9
0.65,71,2.89,1.17,30,0.74,1.19,100,1.37
0.93,77,5.28,1.2,13,0.12,0.85,8,0.1
0.77,75,2.27,1.1,10,2.02,0.87,89,0.31
0.71,95,2.59,1.19,8,0.22,0.88,96,0.49
0.76,26,2.24,1.08,36,2.51,0.99,19,0.85
0.82,13,2.51,0.81,121,0.88,0.97,6,2.91
0.69,77,0.42,0.82,98,1.01,1.15,83,0.07
0.94,87,6.26,0.94,124,0.92,1.15,77,1.42
0.59,79,1.68,0.87,6,0.64,1.08,79,0.78
0.79,124,0.29,0.97,109,0.07,1.15,59,0.24
0.57,115,4.39,0.83,28,2.75,0.99,112,2.26
0.9,91,0.15,1.1,117,0.34,0.91,31,2.71
0.8,130,2.76,0.97,38,1.88,1.1,36,1.96
0.78,106,6.73,1,64,0.08,1.09,13,1.49
0.84,124,0.15,0.86,4,0.31,1.19,45,0.04
0.75,130,4.58,1.13,91,0.35,1.01,131,0.57
0.99,97,3.33,1.1,115,1.59,1.16,38,0.68
0.78,39,4.89,1.13,85,1.06,0.91,54,2.45
0.52,41,0.79,1.05,4,6.23,1.07,96,1.28
0.86,64,0.15,1,37,0.04,0.86,54,0.31
0.67,101,0.74,0.93,109,5.68,0.98,52,1.98
0.99,80,0.9,1.06,44,0.12,1.02,29,0.18
0.91,69,1.92,0.99,1,5.35,1.04,114,0.33
0.87,2,0,1.03,19,0,1.17,29,0
0.85,97,4.44,0.84,73,3.1,0.94,59,1.66
0.75,41,0.28,0.83,90,0.57,0.85,22,0.25
0.81,107,5.52,0.91,104,0.03,0.97,85,0.05
0.64,56,0.85,1.09,60,0.27,0.92,131,2.88
0.62,6,2.36,0.89,127,2.69,1.1,1,0.95
0.89,25,0.06,0.85,85,0.73,0.89,29,1.41
0.64,52,0.81,0.93,53,0.45,1.03,88,0.24
0.76,76,0.28,1.15,41,0.11,0.9,3,0.21
0.9,115,3.87,0.95,109,0.14,0.95,88,0.69
0.65,51,0.85,0.8,3,0.72,0.93,130,5.23
0.63,60,1.14,1.1,64,0.61,1.19,114,0.05
0.56,83,0.57,1.19,113,0.27,0.96,94,0.76
0.89,101,0.49,1.11,73,5.46,0.93,79,1.15
0.76,75,3.32,1.14,124,1.5,0.96,77,1.48
0.64,48,3.06,0.83,65,2.18,1.07,11,3.56
0.81,89,3.48,0.95,24,0.44,1.15,61,0.48
0.89,74,6.01,0.87,133,0.06,0.89,130,0.13
0.64,113,6.54,1.14,2,1.77,1.1,53,0.29
0.87,30,0.6,0.95,102,5.96,0.98,26,3.04
0.54,44,5.75,1.02,65,0.49,0.97,69,0.06
0.93,5,0.16,0.82,27,0.25,0.82,130,0.09
0.82,10,2.65,0.85,98,0.57,1.11,8,0.88
0.52,131,0.55,1.05,62,0.74,1.13,18,7.81
0.55,62,8.27,1.13,114,0.26,1.1,112,0.07
0.79,94,0.76,0.83,21,0.14,1.15,51,0.5
0.61,84,1.34,0.93,40,2.74,0.86,34,5.82
0.78,66,6.85,1.03,45,1.7,1.18,1,0.55
0.58,34,0.37,1.02,103,0.07,1,71,0.06
0.55,24,0.13,0.95,92,0.81,0.95,89,0.96
0.65,100,4.41,0.89,33,0.12,0.93,116,0.87
0.94,29,6.59,1.1,45,0.05,0.83,78,0.16
0.81,12,0.17,0.83,22,2.24,1.04,127,2.29
0.83,0,0.86,0.83,50,1.84,0.9,98,2.2
0.6,22,5.74,1.16,84,1.27,0.86,98,0.09
0.81,81,3.14,1.12,61,2.24,0.96,9,1.92
0.56,97,0.97,0.99,36,0.28,0.83,92,0.15
0.72,76,3.25,1.06,97,1.39,0.94,64,3.86
0.79,90,4.87,0.9,4,1.29,1,100,1.14
0.99,70,2.9,0.85,15,4.04,0.88,50,1.06
0.76,59,2.52,0.97,122,2.83,1.16,106,0.25
0.78,100,0.31,1.15,36,2.67,1.06,57,3.22
0.98,72,0.48,1.18,99,0.46,0.84,21,0.16
0.92,125,4.1,1.11,62,2.49,0.98,33,0.81
0.86,74,6.27,0.92,98,0.15,0.97,106,1.38
0.93,65,0.06,1.14,15,0.15,1.04,6,0.09
0.79,24,6.82,0.99,27,0.34,1.04,44,0.34
0.83,30,1.35,0.91,112,6.42,1.15,5,0.03
0.56,26,1.47,1.17,18,3.12,0.96,108,1.71
0.68,0,0.71,1,90,2.65,0.89,127,2.04
0.91,32,8.92,1,36,0.26,1.05,125,0.32
0.68,127,2.75,0.94,59,0.1,1.11,78,0.45
0.92,37,0.21,1.02,72,0.98,1.03,85,0.41
0.66,119,0.99,1.14,115,4.71,0.95,117,0.5
0.82,63,2.74,0.93,33,0.21,1.01,82,1.25
0.86,121,0.02,1.04,117,0.35,0.93,56,0.33
0.53,3,2.79,1.12,111,1.15,1.03,56,0.96
0.97,99,2.37,0.86,116,5.16,0.88,117,0.57
0.51,20,1.32,1.07,95,1.06,0.92,116,0.52
0.65,119,3.36,0.95,113,0.25,1,69,1.59
0.77,102,8.16,1.1,24,0.06,0.92,79,1.18
0.59,40,0.05,0.85,16,0.06,0.81,36,1.99
0.94,22,0.21,0.84,17,0.17,1.01,103,0.02
0.88,105,0.19,0.81,13,0.34,0.99,35,0.17
0.64,77,1.4,1.13,60,1.56,1.07,27,0.24
0.5,59,2.48,0.85,45,3.12,1.19,36,3.5
0.87,25,1.96,1.07,85,1.54,0.83,24,4.5
0.68,13,2.52,1.16,117,0.52,1.03,86,0.36
0.74,29,0.01,1.13,34,0.12,1.03,61,0.47
0.68,3,5.16,1.01,90,0.57,1.06,37,2.67
0.92,90,0.92,0.97,100,0.19,0.95,108,0.09
0.71,53,3.35,0.81,62,0.7,0.99,129,0.15
0.65,32,0.59,1.02,114,1.65,1.15,88,1.06
0.61,107,0.09,1.18,62,0,1.07,36,0.01
0.58,102,1.66,1.14,21,0.8,1.04,59,3.94
0.6,75,0.36,0.85,63,0.74,0.84,64,0.3
0.81,125,1.38,1.17,105,1.51,0.94,76,4.41
0.63,79,4.69,1.02,49,0.38,1.07,71,0.43
0.83,14,0.38,0.87,18,0.14,1.18,28,0.48
0.51,59,1.29,1.11,54,0.43,0.81,17,0.88
0.85,57,2.24,0.91,18,1.08,1.15,9,4.08
0.93,83,3.02,1.08,0,1.33,1.13,127,1.75
0.56,113,4.94,1.01,54,0.4,1.02,83,2.76
0.89,76,0.69,0.95,54,6.95,1.05,121,0.76
0.56,34,0.05,0.91,93,1.5,0.96,46,5.95
0.68,105,2.71,1.06,12,2.07,0.98,25,3.42
0.65,16,4.6,0.81,33,2.45,0.92,124,0.85
0.87,58,0.29,0.9,61,0.08,1.08,32,0.03
0.9,100,5.73,1.12,50,0.01,0.84,83,1.06
0.95,96,2.96,1.19,87,0.86,0.96,74,3.78
0.53,4,4.29,0.95,106,0.92,1.09,63,0.29
0.68,104,0.02,1.1,82,0.33,0.91,62,0.85
0.89,129,1.95,1.15,107,3.81,0.8,97,1.54
0.98,73,6.68,1.2,43,2.09,1.1,133,0.03
0.74,43,2.9,1.07,39,1.38,1.03,4,0.22
0.71,126,3.01,0.99,70,3.13,1,25,1.56
0.66,57,5.48,0.92,93,0.12,0.97,122,1.7
0.88,5,1.95,1.04,41,1.58,0.91,96,1.17
0.59,109,8.47,1.07,107,0.45,1.01,4,0.68
0.6,67,0.66,1.04,90,1.27,0.87,104,3.47
0.99,50,1.81,1.05,16,0.06,1.11,48,0.03
0.91,122,6.59,1.18,64,0.03,0.9,67,0.18
0.87,128,0.84,1.09,106,0.48,1.12,42,3.28
0.65,83,4.71,1.18,53,0.2,1.03,132,0.39
0.72,53,0.12,1.05,122,0.71,0.92,49,3.47
0.62,77,1.63,1.07,95,0.02,0.91,120,0.05
0.97,67,4.36,1.1,105,2.24,1.15,13,0.3
0.72,124,5.88,1.13,56,0.72,0.97,92,2.5
0.56,16,1.3,0.82,33,2.87,1.11,48,1.33
0.81,127,0.33,0.93,13,0.43,0.98,32,0.04
0.99,74,0.31,1.18,129,0.11,1.18,55,0.08
0.54,65,0.4,0.9,127,0.31,1.17,72,0.09
0.61,22,0.57,1.17,55,0.48,0.96,29,1.05
0.82,89,0.42,0.92,126,0.84,0.92,35,2.84
0.98,102,0.05,0.96,119,0.35,1.06,72,0
0.93,14,4.1,1.18,46,0.39,1,132,0.91
0.65,39,0,1.19,7,1.8,1.16,124,0.1
0.68,115,1.7,1.14,128,0.08,1.17,124,0.12
0.65,18,1.8,1,28,4.79,0.81,35,2.81
0.55,37,0.53,0.82,6,1.96,0.82,126,0.61
0.87,19,3.14,0.86,91,0.23,0.95,104,0.03
0.88,19,2.49,0.83,70,2.38,0.81,13,2.13
0.81,105,0.01,0.83,120,0.04,1.1,29,0.65
0.5,109,5.47,1.14,46,2.02,0.81,66,0.11
0.79,133,2.33,0.93,79,2.82,0.98,20,0.25
0.87,39,1.54,0.81,30,0.94,0.93,57,1.22
0.74,116,4.93,1.04,120,0.87,1.16,77,0.1
0.76,117,1.98,0.95,24,1.05,0.82,23,3.67
0.96,9,5.71,0.96,20,0.05,0.92,47,4.24
0.53,87,0.53,1.07,84,0.04,0.83,87,0.53
0.63,7,1.35,0.86,113,0.16,0.91,91,1.29
0.58,95,0.5,1.05,8,0.63,0.84,101,0.67
0.55,8,0.22,0.99,8,0.19,0.93,126,0.39
0.95,118,3.46,1.08,80,2.04,0.89,107,0.8
0.68,129,1.57,1.1,77,0.75,0.81,111,0.38
0.63,10,2.83,0.98,33,1.26,0.96,42,5.11
0.96,24,0.16,1.12,72,0.3,0.87,0,0.04
