BW 1,Delay 1, PL 1, BW 2, Delay 2, PL 2,BW 3,Delay 3, PL 3, BW 4, Delay 4, PL 4
0.94,49,0.38,0.94,9,0.22,1.14,75,0.1,1.01,42,0
0.88,30,0.72,1.11,23,2.15,0.99,91,0.02,1,68,0.01
0.83,60,2.05,0.96,23,3.76,1.05,64,0.58,0.9,93,0.31
0.86,55,3.23,1.05,8,2.24,0.96,43,0.3,1.08,62,1.03
0.56,73,1.28,0.99,45,3.83,1.17,63,0.3,1.14,2,2.79
0.59,60,2.48,0.87,67,0.49,1.06,61,0.42,1.02,79,0.11
0.63,24,0.56,0.9,55,0.44,0.99,98,0.45,0.81,32,1.45
0.7,69,2.2,1.06,5,2.08,1.09,11,0.25,0.99,83,0.57
0.9,23,0.59,0.88,24,2.92,1.03,47,0.42,1.14,99,0.77
0.85,1,0.47,1.05,26,3.98,1.19,89,0.24,0.98,78,0.31
0.92,36,2.34,1.12,90,0.07,0.89,28,0.06,1.16,47,0.03
0.93,53,0.56,0.98,61,0.5,0.88,84,0,1.19,50,0.04
0.62,17,4.23,0.8,74,2.27,0.99,90,0.05,1.14,45,0.35
0.89,94,0.92,1.13,55,4.32,1.04,95,2.66,0.98,52,1.6
0.61,39,1.69,1.07,71,4.58,0.99,66,0.08,1.14,74,0.75
0.64,91,4.1,0.81,40,2.82,0.96,36,0.24,0.92,48,1.34
0.71,76,1.69,0.93,65,1.12,0.94,8,0.27,0.91,28,0.22
0.97,34,1.67,0.85,13,1.45,1.14,70,3.79,1.2,9,1.89
0.89,44,3.87,1.02,45,2.45,0.95,48,2.07,1.19,31,1.01
0.51,65,0.39,1.2,53,1.23,1.15,54,0.11,1.19,96,0.07
0.68,31,1.34,0.85,92,0.06,0.82,35,0.43,0.83,6,0.07
0.78,52,4.72,0.93,44,0.34,0.84,86,0.89,0.89,91,0.35
0.86,24,0.39,1.06,9,1.24,1.03,57,0.88,0.94,93,1.79
0.89,99,3.35,0.82,12,0.15,1.07,54,0.07,0.97,34,0.13
0.78,72,0.84,0.88,92,0.24,1.19,93,1.49,0.97,61,5.63
0.54,1,2.46,1.03,31,0.05,1.12,92,0.22,1.05,73,0.17
0.87,88,4.86,0.96,50,0.77,1.14,45,0.1,1.14,94,0.27
0.82,40,7.04,0.91,80,0.2,1.07,83,1.66,1.12,57,0.9
0.73,94,5.8,0.88,7,0.68,0.88,71,0.07,0.8,20,0.55
0.65,61,3.13,1.1,46,1.19,0.91,18,2.11,0.84,20,3.07
0.95,37,0.65,0.96,95,0.2,1.07,60,0.64,0.96,51,0.21
0.65,72,0.62,1.13,68,0.07,1.06,74,0.04,1.13,72,0.27
0.89,25,0.57,0.84,39,2.64,1.04,99,1.75,1.09,67,0.64
0.96,72,4.7,0.99,10,0.05,1.16,3,0.14,1.06,56,0.01
0.66,61,1,0.82,44,0.62,1.18,45,0.81,0.84,27,0.07
0.96,83,2.75,0.88,57,2.57,1.05,18,0.03,0.82,43,1.85
0.86,26,0.18,0.99,76,0.01,1.19,80,0,1.06,10,0.01
0.76,65,0.01,1.08,87,0.04,1.03,73,0,1.15,75,0.05
0.66,72,8.63,0.96,45,0.14,0.95,41,0.08,1.06,85,0.35
0.91,52,0.11,0.98,49,0.02,1.02,8,0.19,0.93,71,0.48
0.83,99,0.5,0.89,25,0.06,0.98,75,0.32,1.18,24,0.12
0.83,34,4.15,0.9,22,0.77,0.89,99,0.13,0.88,5,0.05
0.65,13,5.53,1.03,76,1.78,1.16,8,0.83,1.03,23,0.26
0.93,75,1.67,1.06,66,0.07,1.12,48,0.36,1,62,0.1
0.96,77,1.37,0.85,57,1.16,1.01,13,0.16,0.81,41,0.71
0.76,68,3.65,1.09,68,0.32,0.81,10,0.28,0.99,37,0.05
0.88,17,9.01,1.05,56,0.73,1.18,41,0.21,1.19,74,0.05
0.6,91,0.03,0.91,98,0,1.18,82,0.03,1,32,0.24
0.79,84,6.43,1.11,62,1.67,0.98,90,0.19,0.83,89,0.71
0.73,75,0.28,1.19,6,0.95,1.07,73,0.58,0.94,40,0.09
0.8,76,4.45,1.18,35,2.99,0.83,70,0.38,0.95,27,0.08
0.72,89,4.32,1.17,74,0.04,1.04,42,0.03,1.12,43,0.01
0.5,75,3.25,0.92,80,0.14,1.01,56,0.02,0.93,32,0.09
0.91,80,4.65,1.02,88,0.29,1.17,24,0,0.86,36,0.06
0.99,67,1.31,0.83,84,0.07,0.95,25,1.23,1.05,98,0.69
0.83,81,0.86,1.14,90,2.85,1.11,41,0.59,0.86,28,2.1
0.64,83,0.19,0.81,82,0,0.94,71,0.01,0.89,94,0
0.67,81,3.58,0.97,9,1.1,1.04,61,0.29,1.11,85,0.33
0.56,30,2.27,0.93,12,1.35,1.1,54,0.14,1.03,66,0.04
0.66,3,1.13,1.17,97,0.53,0.99,11,0.03,0.92,17,0.01
0.52,86,1.3,1.01,75,3.7,1.16,14,0.75,0.84,60,0.75
0.68,58,0.19,0.85,85,2.17,1.07,27,0.03,0.84,61,0.11
0.96,3,3.45,0.95,26,1.1,1.05,68,0.2,0.98,72,0.25
0.95,91,1.95,1,69,2.6,0.95,1,0.03,1.09,97,0.72
0.81,0,1.18,0.87,66,2.12,0.82,31,1.07,1.15,61,0.83
0.62,21,0.37,1.12,81,1.12,1.11,54,0.16,0.8,31,0.05
0.54,7,7.31,1.04,74,0.32,0.9,71,0.98,1.08,66,0.19
0.76,83,2.92,1.14,30,1.19,1,45,2.99,1.01,70,0.1
0.72,61,6.37,1.03,100,0.12,1.1,93,0.16,0.92,66,0.05
0.6,10,0.61,0.93,23,0.41,1.19,12,0.39,0.97,88,0.19
0.62,99,1.79,1.11,80,3.53,0.97,1,1.95,0.84,78,1.23
0.73,53,3.18,1.12,88,0.02,0.89,62,0.13,0.8,93,0.37
0.6,53,1.92,1.07,60,4.68,1.09,37,2.08,0.83,82,0.12
0.56,21,5.46,1.03,65,0.23,0.9,64,1.49,1.18,16,2.02
0.51,71,0.47,0.95,34,0.17,1.14,26,0.05,1.14,68,0.11
0.59,2,0.2,1.19,78,3.64,0.86,8,0.16,0.97,77,0.3
0.86,78,0.74,1.13,3,0.31,1.09,66,0.08,1.06,75,0.17
0.61,17,0.35,0.99,29,0.17,1.16,61,0.21,1.16,23,0.07
0.76,97,6.15,0.94,69,1.05,1.06,79,1.48,0.89,56,0.02
0.99,78,6.21,0.89,44,1.12,1.16,2,0.14,1,7,0.63
0.71,61,0.16,0.85,2,2.7,0.94,77,6.03,0.99,0,1.01
0.56,92,0.05,1.06,24,0.04,1.18,34,0.18,0.89,52,0.63
0.87,62,2.54,0.96,18,1.68,0.81,100,0.63,1.04,60,0.05
0.51,93,1.5,0.97,2,0.78,1.15,21,2.68,1.07,25,0.54
0.54,70,6.09,0.88,93,2.13,1.09,19,0.74,1.18,36,0.04
0.96,28,0.52,0.83,51,4.62,0.99,3,1.82,1.05,9,0.24
0.92,23,0.3,0.85,90,0.21,0.93,84,0.09,1.17,15,0.2
0.97,27,0.17,1.11,23,0.23,0.98,32,0.92,1.1,74,1.38
0.86,71,8.92,1.13,27,0,0.97,99,0,1.06,29,0.08
0.98,2,0.84,1.18,35,0.11,0.9,46,0.03,1.04,50,0.32
0.97,77,3.36,1.04,99,0.92,0.96,48,0.79,0.81,20,0.43
0.63,76,2.2,1.07,94,0.09,0.92,53,0.01,1.08,69,0
0.79,52,8.26,1.05,81,0.41,1.02,23,0.49,1.08,82,0.54
0.67,7,2.78,1.09,12,0.22,1.17,58,1.71,1,26,2.09
0.7,28,3.79,1.17,51,0.39,1.02,7,0.5,0.91,79,0.12
0.67,59,2.01,1.17,95,4.08,0.92,98,0.05,0.9,69,0.26
0.89,85,1.45,0.95,27,0.39,1.07,6,3.21,1.04,11,0.55
